soldierId,bestSoldierPerc
47734,0.4317909
47735,0.53693014
47736,0.27752668
47737,0.34169927
47738,0.12146637
47739,0.042241335
47740,0.21148899
47741,0.29397187
47742,0.81745744
47743,0.4489921
47744,0.85820127
47745,0.021137506
47746,0.16668499
47747,0.3666319
47748,0.28568527
47749,0.8480803
47750,0.8881978
47751,0.83339244
47752,0.12503049
47753,0.93673635
47754,0.1580092
47755,0.26284763
47756,0.08786422
47757,1.0451163
47758,0.21864763
47759,0.400643
47760,0.6800233
47761,0.63069904
47762,0.8415965
47763,0.18254814
47764,0.9346694
47765,0.88187265
47766,0.515345
47767,0.15251377
47768,0.6870359
47769,0.23386866
47770,0.7991555
47771,0.39747447
47772,0.8199785
47773,0.68877304
47774,0.0040883124
47775,0.35714835
47776,0.9660907
47777,0.52456146
47778,0.18259978
47779,0.92013896
47780,0.5655793
47781,0.7286899
47782,0.22331566
47783,0.6829195
47784,0.9152168
47785,0.49284187
47786,0.017036945
47787,0.50422645
47788,0.2682845
47789,0.18519199
47790,0.86563504
47791,0.17967564
47792,0.78962183
47793,0.13671309
47794,0.17815778
47795,0.92417836
47796,0.9444524
47797,0.9920595
47798,0.08623865
47799,0.3877687
47800,0.7329879
47801,0.6250814
47802,0.60552233
47803,0.11455521
47804,0.61865896
47805,0.17178613
47806,0.63498545
47807,0.31213173
47808,0.9601979
47809,0.82127464
47810,0.09552252
47811,0.85481644
47812,0.17429686
47813,0.085004866
47814,0.05918041
47815,0.7559787
47816,0.058118492
47817,0.5606333
47818,0.755582
47819,0.23682806
47820,0.69506204
47821,0.83732045
47822,0.044270337
47823,0.046694815
47824,0.28408322
47825,0.90538985
47826,0.4192979
47827,0.21754345
47828,0.84301496
47829,0.45600772
47830,0.89775074
47831,0.80766934
47832,0.8424269
47833,0.8258395
47834,0.74364305
47835,0.69918966
47836,0.502745
47837,0.6964081
47838,0.8913094
47839,0.60731757
47840,0.07266623
47841,0.27500445
47842,0.79543734
47843,0.7053323
47844,0.060985267
47845,0.7664482
47846,0.40170902
47847,0.19180521
47848,0.01759708
47849,0.9181087
47850,0.66102964
47851,0.9191812
47852,0.9222933
47853,0.049016565
47854,0.38257915
47855,0.800624
47856,0.43848604
47857,0.8541279
47858,0.057065576
47859,0.7067994
47860,0.12864125
47861,0.85121095
47862,0.9856415
47863,0.25592765
47864,0.039839953
47865,0.97117174
47866,0.70888865
47867,0.59763706
47868,0.19561297
47869,0.83104575
47870,0.22619829
47871,0.41128576
47872,0.33340615
47873,0.965752
47874,0.92348254
47875,0.7728807
47876,0.28207105
47877,0.15684986
47878,0.23001271
47879,0.15604004
47880,0.18310916
47881,0.44338503
47882,0.26939344
47883,0.40005466
47884,0.69104195
47885,0.42548308
47886,0.11730337
47887,0.903551
47888,0.79362893
47889,0.54162586
47890,0.38887063
47891,0.23256844
47892,0.49610582
47893,0.502421
47894,0.5240105
47895,0.8964567
47896,0.4096374
47897,0.59595746
47898,0.9646271
47899,0.1848557
47900,0.13989198
47901,0.76875764
47902,0.112112015
47903,0.5529283
47904,0.12466079
47905,0.6324482
47906,0.06860125
47907,0.50467026
47908,0.7453377
47909,0.7805213
47910,0.76975745
47911,0.91432023
47912,0.75202054
47913,0.8572752
47914,0.14721975
47915,0.6251479
47916,0.41055936
47917,0.9277337
47918,0.8893529
47919,0.6374403
47920,0.77433085
47921,0.14769432
47922,0.812086
47923,0.9107129
47924,0.055790424
47925,0.899928
47926,0.7342416
47927,0.7441511
47928,0.392072
47929,0.16014808
47930,1.0155884
47931,0.39587802
47932,0.027242094
47933,0.492739
47934,0.30175847
47935,0.20318842
47936,0.84808433
47937,0.113755405
47938,0.064888984
47939,0.85541713
47940,0.03998375
47941,0.9547643
47942,0.9357364
47943,0.95313525
47944,0.6213653
47945,0.668479
47946,0.2551388
47947,0.9240858
47948,0.055332005
47949,0.40989557
47950,0.038585454
47951,0.08835921
47952,0.11253527
47953,0.20135167
47954,0.037245423
47955,0.39781538
47956,0.96581566
47957,0.10409033
47958,0.27411374
47959,1.0091207
47960,0.59779346
47961,0.9340775
47962,0.4756207
47963,0.97471
47964,0.14088005
47965,0.10052937
47966,0.92271376
47967,0.23079425
47968,0.25416866
47969,0.4181067
47970,0.7859218
47971,0.8175947
47972,0.7685158
47973,0.18027681
47974,0.6071827
47975,0.3571325
47976,0.26266313
47977,0.090617836
47978,0.3480534
47979,0.94207424
47980,0.07306513
47981,0.017340094
47982,0.4170269
47983,0.53723466
47984,0.8994276
47985,0.5710019
47986,0.70163757
47987,-0.0136089325
47988,0.6705942
47989,1.0652966
47990,0.19541255
47991,0.051920205
47992,0.6805258
47993,0.29752624
47994,0.803139
47995,0.17968315
47996,0.016934723
47997,0.25266427
47998,0.06659123
47999,0.7581027
48000,0.59609777
48001,0.4492371
48002,0.7982658
48003,0.93838346
48004,0.11199695
48005,0.40284196
48006,0.38823068
48007,0.16106343
48008,0.50729257
48009,0.30089954
48010,0.00038006902
48011,0.82202077
